decision,feature,records,mean_absolute_shap,mean_signed_shap,positive_contribution_rate,rank_within_group
Insufficient Evidence,sensor_065,3,0.007954931265657604,0.007954931265657604,1.0,7.0
Insufficient Evidence,sensor_511,5,0.00734879817356196,0.00473689916696257,0.8,8.0
Insufficient Evidence,sensor_480,1,0.007102931204485909,-0.007102931204485909,0.0,9.0
Insufficient Evidence,sensor_201,1,0.006944147786750588,-0.006944147786750588,0.0,10.0
Insufficient Evidence,sensor_066,3,0.006842912908873119,0.006842912908873119,1.0,11.0
Insufficient Evidence,sensor_342,4,0.006713150569132514,0.0009611585633437913,0.5,12.0
Insufficient Evidence,sensor_470,2,0.00667382782160967,-0.00667382782160967,0.0,13.0
Insufficient Evidence,sensor_206,4,0.006617874870488995,0.0016617412408434465,0.5,14.0
Insufficient Evidence,sensor_015,4,0.006441085020128749,0.000710699576900091,0.5,15.0
Insufficient Evidence,sensor_476,1,0.00642061723800161,0.00642061723800161,1.0,16.0
Insufficient Evidence,sensor_461,1,0.006188869076815158,-0.006188869076815158,0.0,17.0
Insufficient Evidence,sensor_317,2,0.006123958204271345,-0.00016834167120076057,0.5,18.0
Insufficient Evidence,sensor_282,1,0.005619808362611297,-0.005619808362611297,0.0,19.0
Insufficient Evidence,sensor_064,1,0.005595706988742304,0.005595706988742304,1.0,20.0
Low Risk,sensor_034,48,0.013633619980200564,-0.011399505348321355,0.20833333333333334,1.0
Low Risk,sensor_104,99,0.013225087803983236,-0.012259689706509548,0.050505050505050504,2.0
Low Risk,sensor_131,38,0.012703121484096953,-0.012703121484096953,0.0,3.0
Low Risk,sensor_214,34,0.011786160599705955,-0.011786160599705955,0.0,4.0
Low Risk,sensor_032,22,0.011544675462468923,-0.011544675462468923,0.0,5.0
Low Risk,sensor_520,32,0.008825639070102441,-0.008825639070102441,0.0,6.0
Low Risk,sensor_066,1,0.008582962046991927,0.008582962046991927,1.0,7.0
Low Risk,sensor_352,37,0.00830114409494336,-0.00830114409494336,0.0,8.0
Low Risk,sensor_248,33,0.008006225751322538,-0.008006225751322538,0.0,9.0
Low Risk,sensor_060,79,0.007991679451834847,-0.007991679451834847,0.0,10.0
Low Risk,sensor_126,36,0.007109687068719307,-0.007109687068719307,0.0,11.0
Low Risk,sensor_424,14,0.006991110195653914,0.0023093730183576544,0.5714285714285714,12.0
Low Risk,sensor_130,25,0.0068060530063357725,-0.005572464915459014,0.12,13.0
Low Risk,sensor_029,22,0.0067081869009930125,-0.0067081869009930125,0.0,14.0
Low Risk,sensor_478,45,0.0065632191080083006,-0.00448815716654127,0.1111111111111111,15.0
Low Risk,sensor_511,56,0.006480936285050637,-0.004737011668205035,0.10714285714285714,16.0
Low Risk,sensor_317,26,0.006423292615989045,-0.006423292615989045,0.0,17.0
Low Risk,sensor_133,1,0.00628862841657644,0.00628862841657644,1.0,18.0
Low Risk,sensor_206,38,0.006184407815553293,-0.0033560253244056194,0.18421052631578946,19.0
Low Risk,sensor_153,8,0.006061324557251804,0.006061324557251804,1.0,20.0
