feature,mean_absolute_shap,mean_signed_shap,positive_contribution_rate,relative_importance,cumulative_importance
sensor_297,0.0009471185975094066,-0.000114367400427293,0.535031847133758,0.0021490722332900567,0.6367644284835103
sensor_124,0.0009434279264153382,-0.00023852044461755424,0.35987261146496813,0.00214069786624529,0.6389051263497556
sensor_042,0.0009416841163808361,-0.00032223718298207585,0.3375796178343949,0.002136741050557016,0.6410418674003127
sensor_307,0.0009366933341174811,-3.481653277383071e-05,0.34076433121019106,0.0021254166487209873,0.6431672840490337
sensor_303,0.0009356170424846498,-0.00031704491902272727,0.5031847133757962,0.0021229744746689492,0.6452902585237026
sensor_364,0.0009304744183907251,-0.00012721400071430498,0.5191082802547771,0.0021113055340784416,0.647401564057781
sensor_318,0.0009228058621203829,-0.0002704033060906669,0.5764331210191083,0.0020939050930002573,0.6494954691507813
sensor_460,0.0009008843171648521,-7.06765654552668e-05,0.5445859872611465,0.0020441637156282614,0.6515396328664095
sensor_203,0.0008992947859937311,-0.00018665857277742055,0.6751592356687898,0.0020405569684766502,0.6535801898348861
sensor_211,0.0008810104246306064,-0.00016545359032275498,0.20382165605095542,0.0019990685916120594,0.6555792584264981
sensor_216,0.0008802364482627981,-0.00033032998323256625,0.410828025477707,0.0019973123900913067,0.6575765708165894
sensor_355,0.0008700114909039735,-0.00029130795149118416,0.2484076433121019,0.0019741113126294034,0.6595506821292187
sensor_051,0.0008621632778431999,-8.874420359667785e-07,0.589171974522293,0.0019563032188867555,0.6615069853481055
sensor_139,0.0008599596613633618,-0.00032843318311812336,0.3630573248407643,0.0019513030731794555,0.663458288421285
sensor_542,0.0008582960414073815,-0.0002084589489994429,0.22929936305732485,0.001947528213870868,0.6654058166351559
sensor_044,0.0008538834282085119,-0.00023729594329277123,0.2898089171974522,0.0019375157143519306,0.6673433323495078
sensor_118,0.0008500364412539856,-0.00030755168048037716,0.321656050955414,0.0019287866566947986,0.6692721190062026
sensor_026,0.0008493508510630042,-0.0001685335583764755,0.4585987261146497,0.0019272310090211822,0.6711993500152238
sensor_097,0.0008481203431378719,-0.00012108520228346794,0.40764331210191085,0.0019244389084102356,0.673123788923634
sensor_347,0.0008471331418257907,-0.0004700198191911297,0.11464968152866242,0.0019221988859526044,0.6750459878095866
sensor_407,0.0008465792690939098,-7.943571963551271e-05,0.46496815286624205,0.001920942113556843,0.6769669299231434
sensor_162,0.0008424446413233821,-0.00018236397718219684,0.5063694267515924,0.0019115603806249832,0.6788784903037685
sensor_281,0.0008419954223243217,-0.0003012032255051871,0.49363057324840764,0.0019105410741937867,0.6807890313779622
sensor_024,0.0008419198704277029,-0.0002952029393104077,0.2229299363057325,0.001910369642143331,0.6826994010201055
sensor_146,0.0008321220180840875,-0.0002535286916084362,0.3248407643312102,0.0018881376930791796,0.6845875387131847
sensor_254,0.000831904253641164,-0.00015979204985220273,0.5477707006369427,0.001887643571731636,0.6864751822849163
sensor_052,0.0008305824843816387,-5.900886766189157e-05,0.42356687898089174,0.001884644393358482,0.6883598266782748
sensor_481,0.0008129161347424419,-0.0001284356655749347,0.4426751592356688,0.0018445583243349936,0.6902043850026097
sensor_523,0.0008097031423114225,-0.000381837601029246,0.4267515923566879,0.0018372678405060069,0.6920416528431157
sensor_136,0.000805802620977673,-0.0002280381151392007,0.46178343949044587,0.0018284173099433513,0.693870070153059
sensor_283,0.0008031895374157296,-0.00027405330783259195,0.3248407643312102,0.0018224880574284005,0.6956925582104874
sensor_035,0.0008021915827509871,-0.0002903514540195259,0.44904458598726116,0.0018202236349308166,0.6975127818454182
