threshold,recall_fail,precision_fail,f1_fail,balanced_accuracy,true_negative,false_positive,false_negative,true_positive,operational_cost
0.44,0.6867469879518072,0.10982658959537572,0.1893687707641196,0.6459375965400062,708,462,26,57,722.0
0.445,0.6867469879518072,0.111328125,0.1915966386554622,0.6489290495314592,715,455,26,57,715.0
0.45,0.6746987951807228,0.11067193675889328,0.19015280135823429,0.6450417052826691,720,450,27,56,720.0
0.455,0.6746987951807228,0.11244979919678715,0.1927710843373494,0.6484605087014725,728,442,27,56,712.0
0.46,0.6626506024096386,0.11247443762781185,0.19230769230769232,0.6458552157347338,736,434,28,55,714.0
0.465,0.6626506024096386,0.11387163561076605,0.19434628975265017,0.6484193182988364,742,428,28,55,708.0
0.47000000000000003,0.6385542168674698,0.11228813559322035,0.19099099099099098,0.6402172793739058,751,419,30,53,719.0
0.47500000000000003,0.6385542168674698,0.11373390557939914,0.1930783242258652,0.6427813819380084,757,413,30,53,713.0
0.48,0.6265060240963856,0.11428571428571428,0.19330855018587362,0.6410307898259706,767,403,31,52,713.0
0.485,0.6144578313253012,0.1146067415730337,0.19318181818181818,0.6388528472865822,776,394,32,51,714.0
0.49,0.6144578313253012,0.11643835616438356,0.19577735124760076,0.6418443002780352,783,387,32,51,707.0
0.495,0.6024096385542169,0.11547344110854503,0.1937984496124031,0.6375296056018949,787,383,33,50,713.0
0.5,0.6024096385542169,0.11682242990654206,0.19569471624266144,0.639666357738647,792,378,33,50,708.0
0.505,0.6024096385542169,0.1179245283018868,0.19723865877712032,0.6413757594480487,796,374,33,50,704.0
0.51,0.6024096385542169,0.11904761904761904,0.1988071570576541,0.6430851611574504,800,370,33,50,700.0
0.515,0.6024096385542169,0.12165450121654502,0.20242914979757085,0.6469313150036042,809,361,33,50,691.0
0.52,0.6024096385542169,0.12345679012345678,0.20491803278688525,0.6494954175677068,815,355,33,50,685.0
0.525,0.5903614457831325,0.12342569269521411,0.20416666666666666,0.6464627741736175,822,348,34,49,688.0
0.53,0.5903614457831325,0.12628865979381443,0.208067940552017,0.6503089280197714,831,339,34,49,679.0
0.535,0.5542168674698795,0.12169312169312169,0.19956616052060738,0.6352280918545978,838,332,37,46,702.0
0.54,0.5421686746987951,0.12162162162162163,0.1986754966887417,0.6321954484605087,845,325,38,45,705.0
0.545,0.5180722891566265,0.12011173184357542,0.19501133786848074,0.6244207599629286,855,315,40,43,715.0
0.55,0.5060240963855421,0.11965811965811966,0.1935483870967742,0.6209607661414891,861,309,41,42,719.0
0.555,0.5060240963855421,0.12103746397694524,0.19534883720930232,0.6226701678508908,865,305,41,42,715.0
0.56,0.4939759036144578,0.12058823529411765,0.1938534278959811,0.6192101740294511,871,299,42,41,719.0
0.5650000000000001,0.46987951807228917,0.11782477341389729,0.18840579710144928,0.6101534342498198,878,292,44,39,732.0
0.5700000000000001,0.46987951807228917,0.12074303405572756,0.1921182266009852,0.6135722376686232,886,284,44,39,724.0
0.5750000000000001,0.46987951807228917,0.121875,0.1935483870967742,0.6148542889506745,889,281,44,39,721.0
0.58,0.46987951807228917,0.12580645161290321,0.1984732824427481,0.6191277932241788,899,271,44,39,711.0
0.585,0.46987951807228917,0.12745098039215685,0.20051413881748073,0.6208371949335805,903,267,44,39,707.0
0.59,0.46987951807228917,0.12956810631229235,0.203125,0.6229739470703326,908,262,44,39,702.0
0.595,0.4578313253012048,0.1288135593220339,0.20105820105820105,0.6190866028215426,913,257,45,38,707.0
0.6,0.4457831325301205,0.12982456140350876,0.20108695652173914,0.6169086602821543,922,248,46,37,708.0
0.605,0.4457831325301205,0.13167259786476868,0.2032967032967033,0.618618061991556,926,244,46,37,704.0
0.61,0.4457831325301205,0.13653136531365315,0.20903954802259886,0.6228915662650603,936,234,46,37,694.0
0.615,0.42168674698795183,0.1320754716981132,0.20114942528735633,0.6125527752033777,940,230,48,35,710.0
0.62,0.42168674698795183,0.13513513513513514,0.2046783625730994,0.6151168777674803,946,224,48,35,704.0
0.625,0.42168674698795183,0.13725490196078433,0.20710059171597633,0.616826279476882,950,220,48,35,700.0
0.63,0.42168674698795183,0.14,0.21021021021021022,0.6189630316136341,955,215,48,35,695.0
0.635,0.3855421686746988,0.13168724279835392,0.19631901840490798,0.6026001441664093,959,211,51,32,721.0
0.64,0.3855421686746988,0.13617021276595745,0.20125786163522014,0.6060189475852127,967,203,51,32,713.0
0.645,0.3855421686746988,0.13973799126637554,0.20512820512820512,0.6085830501493152,973,197,51,32,707.0
0.65,0.3855421686746988,0.14414414414414414,0.2098360655737705,0.6115745031407682,980,190,51,32,700.0
0.655,0.37349397590361444,0.14351851851851852,0.20735785953177258,0.6076871588919781,985,185,52,31,705.0
0.66,0.37349397590361444,0.14832535885167464,0.21232876712328766,0.6106786118834311,992,178,52,31,698.0
0.665,0.3493975903614458,0.14215686274509803,0.20209059233449478,0.5999124703943981,995,175,54,29,715.0
0.67,0.3373493975903614,0.14583333333333334,0.20363636363636364,0.5985892287097107,1006,164,55,28,714.0
0.675,0.3373493975903614,0.15384615384615385,0.21132075471698114,0.6028627329832149,1016,154,55,28,704.0
0.68,0.30120481927710846,0.14619883040935672,0.1968503937007874,0.5882092472453918,1024,146,58,25,726.0
0.685,0.30120481927710846,0.15060240963855423,0.20080321285140562,0.5903459993821439,1029,141,58,25,721.0
0.6900000000000001,0.27710843373493976,0.14556962025316456,0.1908713692946058,0.5808619091751621,1035,135,60,23,735.0
0.6950000000000001,0.27710843373493976,0.1513157894736842,0.19574468085106383,0.5834260117392647,1041,129,60,23,729.0
0.7000000000000001,0.27710843373493976,0.1554054054054054,0.19913419913419914,0.5851354134486665,1045,125,60,23,725.0
0.705,0.27710843373493976,0.16428571428571428,0.2062780269058296,0.5885542168674699,1053,117,60,23,717.0
0.71,0.27710843373493976,0.16911764705882354,0.2100456621004566,0.5902636185768716,1057,113,60,23,713.0
0.715,0.27710843373493976,0.17692307692307693,0.215962441314554,0.5928277211409742,1063,107,60,23,707.0
0.72,0.26506024096385544,0.17886178861788618,0.21359223300970873,0.5893677273195346,1069,101,61,22,711.0
0.725,0.26506024096385544,0.18487394957983194,0.21782178217821782,0.5910771290289363,1073,97,61,22,707.0
0.73,0.24096385542168675,0.18018018018018017,0.20618556701030927,0.5815930388219546,1079,91,63,20,721.0
