lower_threshold,upper_threshold,total_records,total_failures,total_passes,low_risk_records,review_records,high_risk_records,low_risk_rate,review_rate,high_risk_rate,automation_coverage,low_risk_failures,low_risk_passes,review_failures,review_passes,high_risk_failures,high_risk_passes,low_risk_npv,high_risk_precision,low_risk_failure_leakage,high_risk_failure_capture,review_failure_capture,review_plus_high_failure_capture,high_risk_false_alarm_rate,operational_cost
0.005,0.4549999999999998,1253,83,1170,0,1253,0,0.0,1.0,0.0,0.0,0,0,83,1170,0,0,,0.0,0.0,0.0,1.0,1.0,0.0,1211.5
0.005,0.4599999999999998,1253,83,1170,0,1253,0,0.0,1.0,0.0,0.0,0,0,83,1170,0,0,,0.0,0.0,0.0,1.0,1.0,0.0,1211.5
0.005,0.4649999999999998,1253,83,1170,0,1253,0,0.0,1.0,0.0,0.0,0,0,83,1170,0,0,,0.0,0.0,0.0,1.0,1.0,0.0,1211.5
0.005,0.4699999999999998,1253,83,1170,0,1253,0,0.0,1.0,0.0,0.0,0,0,83,1170,0,0,,0.0,0.0,0.0,1.0,1.0,0.0,1211.5
0.005,0.4749999999999998,1253,83,1170,0,1253,0,0.0,1.0,0.0,0.0,0,0,83,1170,0,0,,0.0,0.0,0.0,1.0,1.0,0.0,1211.5
0.005,0.47999999999999976,1253,83,1170,0,1253,0,0.0,1.0,0.0,0.0,0,0,83,1170,0,0,,0.0,0.0,0.0,1.0,1.0,0.0,1211.5
0.005,0.48499999999999976,1253,83,1170,0,1253,0,0.0,1.0,0.0,0.0,0,0,83,1170,0,0,,0.0,0.0,0.0,1.0,1.0,0.0,1211.5
0.005,0.48999999999999977,1253,83,1170,0,1253,0,0.0,1.0,0.0,0.0,0,0,83,1170,0,0,,0.0,0.0,0.0,1.0,1.0,0.0,1211.5
0.005,0.4949999999999998,1253,83,1170,0,1253,0,0.0,1.0,0.0,0.0,0,0,83,1170,0,0,,0.0,0.0,0.0,1.0,1.0,0.0,1211.5
0.005,0.4999999999999998,1253,83,1170,0,1253,0,0.0,1.0,0.0,0.0,0,0,83,1170,0,0,,0.0,0.0,0.0,1.0,1.0,0.0,1211.5
0.005,0.5049999999999998,1253,83,1170,0,1253,0,0.0,1.0,0.0,0.0,0,0,83,1170,0,0,,0.0,0.0,0.0,1.0,1.0,0.0,1211.5
0.005,0.5099999999999998,1253,83,1170,0,1253,0,0.0,1.0,0.0,0.0,0,0,83,1170,0,0,,0.0,0.0,0.0,1.0,1.0,0.0,1211.5
0.005,0.5149999999999998,1253,83,1170,0,1253,0,0.0,1.0,0.0,0.0,0,0,83,1170,0,0,,0.0,0.0,0.0,1.0,1.0,0.0,1211.5
0.005,0.5199999999999998,1253,83,1170,0,1253,0,0.0,1.0,0.0,0.0,0,0,83,1170,0,0,,0.0,0.0,0.0,1.0,1.0,0.0,1211.5
0.005,0.5249999999999998,1253,83,1170,0,1253,0,0.0,1.0,0.0,0.0,0,0,83,1170,0,0,,0.0,0.0,0.0,1.0,1.0,0.0,1211.5
0.005,0.5299999999999998,1253,83,1170,0,1253,0,0.0,1.0,0.0,0.0,0,0,83,1170,0,0,,0.0,0.0,0.0,1.0,1.0,0.0,1211.5
0.005,0.5349999999999998,1253,83,1170,0,1253,0,0.0,1.0,0.0,0.0,0,0,83,1170,0,0,,0.0,0.0,0.0,1.0,1.0,0.0,1211.5
0.005,0.5399999999999998,1253,83,1170,0,1253,0,0.0,1.0,0.0,0.0,0,0,83,1170,0,0,,0.0,0.0,0.0,1.0,1.0,0.0,1211.5
0.005,0.5449999999999997,1253,83,1170,0,1253,0,0.0,1.0,0.0,0.0,0,0,83,1170,0,0,,0.0,0.0,0.0,1.0,1.0,0.0,1211.5
0.005,0.5499999999999997,1253,83,1170,0,1253,0,0.0,1.0,0.0,0.0,0,0,83,1170,0,0,,0.0,0.0,0.0,1.0,1.0,0.0,1211.5
0.005,0.5549999999999997,1253,83,1170,0,1253,0,0.0,1.0,0.0,0.0,0,0,83,1170,0,0,,0.0,0.0,0.0,1.0,1.0,0.0,1211.5
0.005,0.5599999999999997,1253,83,1170,0,1253,0,0.0,1.0,0.0,0.0,0,0,83,1170,0,0,,0.0,0.0,0.0,1.0,1.0,0.0,1211.5
0.005,0.5649999999999997,1253,83,1170,0,1253,0,0.0,1.0,0.0,0.0,0,0,83,1170,0,0,,0.0,0.0,0.0,1.0,1.0,0.0,1211.5
0.005,0.5699999999999997,1253,83,1170,0,1253,0,0.0,1.0,0.0,0.0,0,0,83,1170,0,0,,0.0,0.0,0.0,1.0,1.0,0.0,1211.5
0.005,0.5749999999999997,1253,83,1170,0,1253,0,0.0,1.0,0.0,0.0,0,0,83,1170,0,0,,0.0,0.0,0.0,1.0,1.0,0.0,1211.5
0.005,0.5799999999999997,1253,83,1170,0,1253,0,0.0,1.0,0.0,0.0,0,0,83,1170,0,0,,0.0,0.0,0.0,1.0,1.0,0.0,1211.5
0.005,0.5849999999999997,1253,83,1170,0,1253,0,0.0,1.0,0.0,0.0,0,0,83,1170,0,0,,0.0,0.0,0.0,1.0,1.0,0.0,1211.5
0.005,0.5899999999999997,1253,83,1170,0,1253,0,0.0,1.0,0.0,0.0,0,0,83,1170,0,0,,0.0,0.0,0.0,1.0,1.0,0.0,1211.5
0.005,0.5949999999999998,1253,83,1170,0,1253,0,0.0,1.0,0.0,0.0,0,0,83,1170,0,0,,0.0,0.0,0.0,1.0,1.0,0.0,1211.5
0.005,0.5999999999999998,1253,83,1170,0,1253,0,0.0,1.0,0.0,0.0,0,0,83,1170,0,0,,0.0,0.0,0.0,1.0,1.0,0.0,1211.5
0.01,0.05,1253,83,1170,3,591,659,0.0023942537909018356,0.47166799680766164,0.5259377494014366,0.5283320031923384,0,3,12,579,71,588,1.0,0.10773899848254932,0.0,0.8554216867469879,0.14457831325301204,1.0,0.5025641025641026,2349.0
0.01,0.055,1253,83,1170,3,672,578,0.0023942537909018356,0.5363128491620112,0.461292897047087,0.46368715083798884,0,3,14,658,69,509,1.0,0.11937716262975778,0.0,0.8313253012048193,0.1686746987951807,1.0,0.43504273504273505,2192.0
0.01,0.06,1253,83,1170,3,738,512,0.0023942537909018356,0.5889864325618516,0.40861931364724663,0.41101356743814843,0,3,19,719,64,448,1.0,0.125,0.0,0.7710843373493976,0.2289156626506024,1.0,0.38290598290598293,2072.5
0.01,0.065,1253,83,1170,3,782,468,0.0023942537909018356,0.6241021548284118,0.37350359138068634,0.3758978451715882,0,3,22,760,61,407,1.0,0.13034188034188035,0.0,0.7349397590361446,0.26506024096385544,1.0,0.34786324786324785,1992.0
0.01,0.06999999999999999,1253,83,1170,3,843,407,0.0023942537909018356,0.6727853152434158,0.32482043096568236,0.3272146847565842,0,3,29,814,54,353,1.0,0.13267813267813267,0.0,0.6506024096385542,0.3493975903614458,1.0,0.3017094017094017,1887.5
0.01,0.07499999999999998,1253,83,1170,3,883,367,0.0023942537909018356,0.704708699122107,0.2928970470869912,0.29529130087789307,0,3,36,847,47,320,1.0,0.12806539509536785,0.0,0.5662650602409639,0.43373493975903615,1.0,0.27350427350427353,1825.0
0.01,0.07999999999999999,1253,83,1170,3,922,328,0.0023942537909018356,0.7358339984038308,0.26177174780526735,0.2641660015961692,0,3,40,882,43,285,1.0,0.13109756097560976,0.0,0.5180722891566265,0.4819277108433735,1.0,0.24358974358974358,1757.0
0.01,0.08499999999999999,1253,83,1170,3,954,296,0.0023942537909018356,0.7613727055067837,0.23623304070231443,0.2386272944932163,0,3,42,912,41,255,1.0,0.13851351351351351,0.0,0.4939759036144578,0.5060240963855421,1.0,0.21794871794871795,1698.0
0.01,0.08999999999999998,1253,83,1170,3,981,269,0.0023942537909018356,0.7829209896249002,0.21468475658419792,0.21707901037509977,0,3,43,938,40,229,1.0,0.14869888475836432,0.0,0.4819277108433735,0.5180722891566265,1.0,0.19572649572649573,1646.5
