lower_threshold,upper_threshold,total_records,total_failures,low_risk_records,review_records,high_risk_records,low_risk_rate,review_rate,high_risk_rate,automation_coverage,low_risk_failures,low_risk_passes,review_failures,review_passes,high_risk_failures,high_risk_passes,low_risk_npv,high_risk_precision,high_risk_failure_capture,review_failure_capture,review_plus_high_failure_capture,low_risk_failure_leakage,operational_cost
0.01,0.38999999999999985,1253,83,180,1062,11,0.14365522745411013,0.8475658419792498,0.008778930566640064,0.1524341580207502,0,180,78,984,5,6,1.0,0.45454545454545453,0.060240963855421686,0.9397590361445783,1.0,0.0,1041.0
0.01,0.39999999999999986,1253,83,180,1062,11,0.14365522745411013,0.8475658419792498,0.008778930566640064,0.1524341580207502,0,180,78,984,5,6,1.0,0.45454545454545453,0.060240963855421686,0.9397590361445783,1.0,0.0,1041.0
0.01,0.40999999999999986,1253,83,180,1072,1,0.14365522745411013,0.8555466879489226,0.0007980845969672786,0.14445331205107742,0,180,82,990,1,0,1.0,1.0,0.012048192771084338,0.9879518072289156,1.0,0.0,1031.0
0.01,0.4199999999999998,1253,83,180,1072,1,0.14365522745411013,0.8555466879489226,0.0007980845969672786,0.14445331205107742,0,180,82,990,1,0,1.0,1.0,0.012048192771084338,0.9879518072289156,1.0,0.0,1031.0
0.01,0.4299999999999998,1253,83,180,1072,1,0.14365522745411013,0.8555466879489226,0.0007980845969672786,0.14445331205107742,0,180,82,990,1,0,1.0,1.0,0.012048192771084338,0.9879518072289156,1.0,0.0,1031.0
0.01,0.43999999999999984,1253,83,180,1072,1,0.14365522745411013,0.8555466879489226,0.0007980845969672786,0.14445331205107742,0,180,82,990,1,0,1.0,1.0,0.012048192771084338,0.9879518072289156,1.0,0.0,1031.0
0.01,0.44999999999999984,1253,83,180,1072,1,0.14365522745411013,0.8555466879489226,0.0007980845969672786,0.14445331205107742,0,180,82,990,1,0,1.0,1.0,0.012048192771084338,0.9879518072289156,1.0,0.0,1031.0
0.01,0.45999999999999985,1253,83,180,1072,1,0.14365522745411013,0.8555466879489226,0.0007980845969672786,0.14445331205107742,0,180,82,990,1,0,1.0,1.0,0.012048192771084338,0.9879518072289156,1.0,0.0,1031.0
0.01,0.4699999999999998,1253,83,180,1072,1,0.14365522745411013,0.8555466879489226,0.0007980845969672786,0.14445331205107742,0,180,82,990,1,0,1.0,1.0,0.012048192771084338,0.9879518072289156,1.0,0.0,1031.0
0.01,0.4799999999999998,1253,83,180,1072,1,0.14365522745411013,0.8555466879489226,0.0007980845969672786,0.14445331205107742,0,180,82,990,1,0,1.0,1.0,0.012048192771084338,0.9879518072289156,1.0,0.0,1031.0
0.01,0.4899999999999998,1253,83,180,1072,1,0.14365522745411013,0.8555466879489226,0.0007980845969672786,0.14445331205107742,0,180,82,990,1,0,1.0,1.0,0.012048192771084338,0.9879518072289156,1.0,0.0,1031.0
0.01,0.4999999999999998,1253,83,180,1072,1,0.14365522745411013,0.8555466879489226,0.0007980845969672786,0.14445331205107742,0,180,82,990,1,0,1.0,1.0,0.012048192771084338,0.9879518072289156,1.0,0.0,1031.0
0.01,0.5099999999999998,1253,83,180,1072,1,0.14365522745411013,0.8555466879489226,0.0007980845969672786,0.14445331205107742,0,180,82,990,1,0,1.0,1.0,0.012048192771084338,0.9879518072289156,1.0,0.0,1031.0
0.01,0.5199999999999998,1253,83,180,1072,1,0.14365522745411013,0.8555466879489226,0.0007980845969672786,0.14445331205107742,0,180,82,990,1,0,1.0,1.0,0.012048192771084338,0.9879518072289156,1.0,0.0,1031.0
0.01,0.5299999999999998,1253,83,180,1072,1,0.14365522745411013,0.8555466879489226,0.0007980845969672786,0.14445331205107742,0,180,82,990,1,0,1.0,1.0,0.012048192771084338,0.9879518072289156,1.0,0.0,1031.0
0.01,0.5399999999999998,1253,83,180,1072,1,0.14365522745411013,0.8555466879489226,0.0007980845969672786,0.14445331205107742,0,180,82,990,1,0,1.0,1.0,0.012048192771084338,0.9879518072289156,1.0,0.0,1031.0
0.01,0.5499999999999998,1253,83,180,1072,1,0.14365522745411013,0.8555466879489226,0.0007980845969672786,0.14445331205107742,0,180,82,990,1,0,1.0,1.0,0.012048192771084338,0.9879518072289156,1.0,0.0,1031.0
0.01,0.5599999999999998,1253,83,180,1072,1,0.14365522745411013,0.8555466879489226,0.0007980845969672786,0.14445331205107742,0,180,82,990,1,0,1.0,1.0,0.012048192771084338,0.9879518072289156,1.0,0.0,1031.0
0.01,0.5699999999999997,1253,83,180,1072,1,0.14365522745411013,0.8555466879489226,0.0007980845969672786,0.14445331205107742,0,180,82,990,1,0,1.0,1.0,0.012048192771084338,0.9879518072289156,1.0,0.0,1031.0
0.01,0.5799999999999997,1253,83,180,1072,1,0.14365522745411013,0.8555466879489226,0.0007980845969672786,0.14445331205107742,0,180,82,990,1,0,1.0,1.0,0.012048192771084338,0.9879518072289156,1.0,0.0,1031.0
0.01,0.5899999999999997,1253,83,180,1072,1,0.14365522745411013,0.8555466879489226,0.0007980845969672786,0.14445331205107742,0,180,82,990,1,0,1.0,1.0,0.012048192771084338,0.9879518072289156,1.0,0.0,1031.0
0.01,0.5999999999999998,1253,83,180,1072,1,0.14365522745411013,0.8555466879489226,0.0007980845969672786,0.14445331205107742,0,180,82,990,1,0,1.0,1.0,0.012048192771084338,0.9879518072289156,1.0,0.0,1031.0
0.01,0.6099999999999998,1253,83,180,1072,1,0.14365522745411013,0.8555466879489226,0.0007980845969672786,0.14445331205107742,0,180,82,990,1,0,1.0,1.0,0.012048192771084338,0.9879518072289156,1.0,0.0,1031.0
0.01,0.6199999999999998,1253,83,180,1072,1,0.14365522745411013,0.8555466879489226,0.0007980845969672786,0.14445331205107742,0,180,82,990,1,0,1.0,1.0,0.012048192771084338,0.9879518072289156,1.0,0.0,1031.0
0.01,0.6299999999999998,1253,83,180,1072,1,0.14365522745411013,0.8555466879489226,0.0007980845969672786,0.14445331205107742,0,180,82,990,1,0,1.0,1.0,0.012048192771084338,0.9879518072289156,1.0,0.0,1031.0
0.01,0.6399999999999997,1253,83,180,1072,1,0.14365522745411013,0.8555466879489226,0.0007980845969672786,0.14445331205107742,0,180,82,990,1,0,1.0,1.0,0.012048192771084338,0.9879518072289156,1.0,0.0,1031.0
0.01,0.6499999999999997,1253,83,180,1072,1,0.14365522745411013,0.8555466879489226,0.0007980845969672786,0.14445331205107742,0,180,82,990,1,0,1.0,1.0,0.012048192771084338,0.9879518072289156,1.0,0.0,1031.0
0.01,0.6599999999999997,1253,83,180,1072,1,0.14365522745411013,0.8555466879489226,0.0007980845969672786,0.14445331205107742,0,180,82,990,1,0,1.0,1.0,0.012048192771084338,0.9879518072289156,1.0,0.0,1031.0
0.01,0.6699999999999997,1253,83,180,1072,1,0.14365522745411013,0.8555466879489226,0.0007980845969672786,0.14445331205107742,0,180,82,990,1,0,1.0,1.0,0.012048192771084338,0.9879518072289156,1.0,0.0,1031.0
